season,conf,w,l,wl,w_conf,l_conf,wl_conf,srs,sos,pts,pts_vs,ap_pre,ap_high,ap_final,ncaa_tournament,seed,coaches,seeded,year,is_ap_pre,is_ap_high,is_ap_final,pts_diff,school,pts_total
2006-07,MAC,9,22,0.29,5,11,0.313,-4.47,1.03,59.6,63.7,30,30,30,0,20,Ronny Thompson,FALSE,2007,FALSE,FALSE,FALSE,-4.1,ball-state,123.3
2005-06,MAC,10,18,0.357,6,12,0.333,-3.53,-0.6,63.5,65,30,30,30,0,20,Tim Buckley,FALSE,2006,FALSE,FALSE,FALSE,-1.5,ball-state,128.5
2004-05,MAC,15,13,0.536,10,8,0.556,4.27,3.31,71.1,68.3,30,30,30,0,20,Tim Buckley,FALSE,2005,FALSE,FALSE,FALSE,2.8,ball-state,139.4
2003-04,MAC,14,15,0.483,10,8,0.556,1.03,1.78,70.6,70.1,30,30,30,0,20,Tim Buckley,FALSE,2004,FALSE,FALSE,FALSE,0.5,ball-state,140.7
2002-03,MAC,13,17,0.433,8,10,0.444,-0.57,2.17,73.3,76,30,30,30,0,20,Tim Buckley,FALSE,2003,FALSE,FALSE,FALSE,-2.7,ball-state,149.3
2001-02,MAC,23,12,0.657,12,6,0.667,8.87,3.29,78,71.9,30,15,30,0,20,Tim Buckley,FALSE,2002,FALSE,TRUE,FALSE,6.1,ball-state,149.9
2000-01,MAC,18,12,0.6,11,7,0.611,3.12,0.3,69.7,66.4,30,30,30,0,20,Tim Buckley,FALSE,2001,FALSE,FALSE,FALSE,3.3,ball-state,136.1
2015-16,Big 12,22,12,0.647,10,8,0.556,16.13,9.76,77.1,69.6,22,14,21,1,5,Scott Drew,TRUE,2016,TRUE,TRUE,TRUE,7.5,baylor,146.7
2014-15,Big 12,24,10,0.706,11,7,0.611,17.85,9.33,69.1,60.2,30,14,16,2,3,Scott Drew,TRUE,2015,FALSE,TRUE,TRUE,8.9,baylor,129.3
2013-14,Big 12,26,12,0.684,9,9,0.5,15.8,10.11,74.8,67.8,25,7,23,4,6,Scott Drew,TRUE,2014,TRUE,TRUE,TRUE,7,baylor,142.6
2012-13,Big 12,23,14,0.622,9,9,0.5,15.07,7.13,76,66.4,19,16,30,0,20,Scott Drew,FALSE,2013,TRUE,TRUE,FALSE,9.6,baylor,142.4
2011-12,Big 12,30,8,0.789,12,6,0.667,16.54,8.03,74.7,65.3,12,3,9,5,3,Scott Drew,TRUE,2012,TRUE,TRUE,TRUE,9.4,baylor,140
